Location,Depth,DOY,REP,Species_Code,Species_Name,Cell_Density_L,Biomass_mg_m3,Length_um,Width_um,Cell_Volume_um3,Group,Description_Code,Phylum,Family,Genus,Species,name_code
Buffalo Pound,0.8,149,REP1,P1078,Planktothrix agardhii (Gom.) Anagnostidis and Komarek,200,1.34,463,4.3,6723.7,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktothrix,agardhii,Pla.aga
Buffalo Pound,0.8,149,REP1,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,1000,2.66,146,5.9,2661.1,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
Buffalo Pound,0.8,149,REP1,P2105,Chlamydomonas spp.,7184,0.18,5.2,3,24.5,Chlorophyte,PHYT,Chlorophyta,Chlamydomonadaceae,Chlamydomonas,spp.,Chl.spp
Buffalo Pound,0.8,149,REP1,P2113,Pediastrum duplex Meyen,400,0.86,0,0,2150,Chlorophyte,PHYT,Chlorophyta,Hydrodictyaceae,Pediastrum,duplex,Ped.dup
Buffalo Pound,0.8,149,REP1,P2121,Oocystis lacustris Chodat,7184,0.36,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
Buffalo Pound,0.8,149,REP1,P2167,Elakatothrix gelatinosa Willen,114944,2.16,12,2,18.8,Chlorophyte,PHYT,Chlorophyta,Coccomyxaceae,Elakatothrix,gelatinosa,Ela.gel
Buffalo Pound,0.8,149,REP1,P2204,Ankyra judayi (G.M. Smith) Fott,86208,5.2,15,3.2,60.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankrya,judai,Ank.jud
Buffalo Pound,0.8,149,REP1,P4351,Small chrysophyceae,172416,2.43,3,3,14.1,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
Buffalo Pound,0.8,149,REP1,P4352,Large chrysophyceae,93392,16.77,7,7,179.6,Chrysophyte,PHYT,Chrysophyta,.,Large chrysophyceae,.,Lar..
Buffalo Pound,0.8,149,REP1,P4355,Chrysochromulina parva Lackey,617824,40.41,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
Buffalo Pound,0.8,149,REP1,P4388,Dinobryon sertularia Ehrenberg,35920,8.13,12,6,226.2,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
Buffalo Pound,0.8,149,REP1,P4388,Dinobryon sertularia Ehrenberg,4800,6,0,0,1250,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
Buffalo Pound,0.8,149,REP1,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,43104,1.56,6,3.4,36.3,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
Buffalo Pound,0.8,149,REP1,P5515,Fragilaria crotonensis Kitton,11000,3.82,83,4,347.7,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
Buffalo Pound,0.8,149,REP1,P5524,Asterionella formosa Hassall,659800,55.95,81,2,84.8,Diatom,PHYT,Chrysophyta,Fragilarioideae,Asterionella,formosa,Ast.for
Buffalo Pound,0.8,149,REP1,P6554,Rhodomonas minuta Skuja,933920,143.17,12.2,6,153.3,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
Buffalo Pound,0.8,149,REP1,P6558,Cryptomonas erosa Ehrenberg,91800,129.2,28,12,1407.4,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,erosa,Cry.ero
Buffalo Pound,0.8,149,REP1,P6562,Cryptomonas reflexa (Marsson) Skuja,33000,29.95,26,10,907.6,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,reflexa,Cry.ref
Buffalo Pound,0.8,149,REP1,P6565,Cryptomonas rostratiformis Skuja,13000,35.58,40,14,2736.7,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,rostratiformis,Cry.ros
Buffalo Pound,0.8,149,REP1,P6568,Katablepharis ovalis Skuja,7184,0.37,8.6,4,51.6,Cryptophyte,PHYT,Pyrrhophyta,Katablepharidaceae,Katablepharis,ovalis,Kat.ova
Buffalo Pound,0.8,149,REP1,P7631,Gymnodinium helveticum Penard,200,4.71,50,30,23561.9,Dinoflagellate,PHYT,Pyrrhophyta,Gymnodinaceae,Gymnodinium,helveticum,Gym.hel
Buffalo Pound,0.8,154,REP1,P1132,Anabaena crassa (Lemm.) Kom-Legn. & Crongerg,600,6.14,188,10.2,10241.3,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,crassa,Ana.cra
Buffalo Pound,0.8,154,REP1,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,2200,9.6,210,6.3,4364.1,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
Buffalo Pound,0.8,154,REP1,P2105,Chlamydomonas spp.,35920,1.68,5.6,4,46.9,Chlorophyte,PHYT,Chlorophyta,Chlamydomonadaceae,Chlamydomonas,spp.,Chl.spp
Buffalo Pound,0.8,154,REP1,P2113,Pediastrum duplex Meyen,200,0.39,0,0,1925,Chlorophyte,PHYT,Chlorophyta,Hydrodictyaceae,Pediastrum,duplex,Ped.dup
Buffalo Pound,0.8,154,REP1,P2178,Cosmarium sp.,200,0.28,20,20,1396.3,Chlorophyte,PHYT,Chlorophyta,Desmidiaceae,Cosmarium,sp.,Cos.sp.
Buffalo Pound,0.8,154,REP1,P2204,Ankyra judayi (G.M. Smith) Fott,438224,24.8,15,3.1,56.6,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankrya,judai,Ank.jud
Buffalo Pound,0.8,154,REP1,P4351,Small chrysophyceae,229888,2.94,2.9,2.9,12.8,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
Buffalo Pound,0.8,154,REP1,P4352,Large chrysophyceae,7184,1.29,7,7,179.6,Chrysophyte,PHYT,Chrysophyta,.,Large chrysophyceae,.,Lar..
Buffalo Pound,0.8,154,REP1,P4355,Chrysochromulina parva Lackey,301728,19.73,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
Buffalo Pound,0.8,154,REP1,P4364,Mallomonas caudata Ivanov,1800,97.23,403,16,54018.6,Chrysophyte,PHYT,Chrysophyta,Synuraceae,Mallomonas,caudata,Mal.cau
Buffalo Pound,0.8,154,REP1,P4388,Dinobryon sertularia Ehrenberg,129312,29.25,12,6,226.2,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
Buffalo Pound,0.8,154,REP1,P4388,Dinobryon sertularia Ehrenberg,11200,14,0,0,1250,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
Buffalo Pound,0.8,154,REP1,P4401,Uroglena volvox Ehrenberg,71840,8.13,6,6,113.1,Chrysophyte,PHYT,Chrysophyta,Ochromonadaceae,Uroglena,volvox,Uro.vol
Buffalo Pound,0.8,154,REP1,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,280176,9.58,6,3.3,34.2,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
Buffalo Pound,0.8,154,REP1,P5509,Cyclotella ocellata Pant.,28736,3.59,4.3,8.6,124.9,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,ocellata,Cyc.oce
Buffalo Pound,0.8,154,REP1,P5524,Asterionella formosa Hassall,383800,36.15,90,2,94.2,Diatom,PHYT,Chrysophyta,Fragilarioideae,Asterionella,formosa,Ast.for
Buffalo Pound,0.8,154,REP1,P5540,Aulacoseira italica v subarctica (O. Muller) Simonsen,400,5.03,379,6.5,12576.4,Diatom,PHYT,Chrysophyta,Melosiroideae,Aulacoseira,italica,Aul.ita
Buffalo Pound,0.8,154,REP1,P5551,Cyclotella michiganiana Skvortzow,201152,4.93,2.5,5,24.5,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,michiganiana,Cyc.mic
Buffalo Pound,0.8,154,REP1,P6554,Rhodomonas minuta Skuja,251440,30.27,11,5.6,120.4,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
Buffalo Pound,0.8,154,REP1,P6558,Cryptomonas erosa Ehrenberg,74800,106.4,28.3,12,1422.5,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,erosa,Cry.ero
Buffalo Pound,0.8,154,REP1,P6562,Cryptomonas reflexa (Marsson) Skuja,66600,53.47,23,10,802.9,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,reflexa,Cry.ref
Buffalo Pound,0.8,154,REP1,P6565,Cryptomonas rostratiformis Skuja,8200,23.56,42,14,2873.5,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,rostratiformis,Cry.ros
Buffalo Pound,0.8,154,REP1,P7640,Peridinium goslaviense Woloszynska,200,6.7,40,40,33510.3,Dinoflagellate,PHYT,Pyrrhophyta,Peridiniaceae,Peridinium,goslaviense,Per.gos
Buffalo Pound,0.8,163,REP1,P1078,Planktothrix agardhii (Gom.) Anagnostidis and Komarek,1800,20.36,400,6,11309.7,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktothrix,agardhii,Pla.aga
Buffalo Pound,0.8,163,REP1,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,110800,1009.92,425,6.4,9114.8,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
Buffalo Pound,0.8,163,REP1,P2105,Chlamydomonas spp.,172416,7.95,5.5,4,46.1,Chlorophyte,PHYT,Chlorophyta,Chlamydomonadaceae,Chlamydomonas,spp.,Chl.spp
Buffalo Pound,0.8,163,REP1,P2113,Pediastrum duplex Meyen,800,2.16,0,0,2700,Chlorophyte,PHYT,Chlorophyta,Hydrodictyaceae,Pediastrum,duplex,Ped.dup
Buffalo Pound,0.8,163,REP1,P2130,Scenedesmus quadricauda (Turp.) Brebisson,114944,4.16,8,3.6,36.2,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,quadricauda,Sce.qua
Buffalo Pound,0.8,163,REP1,P2136,Dictyosphaerium pulchellum Wood,64656,7.31,6,6,113.1,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Dictyosphaerium,pulchellum,Dic.pul
Buffalo Pound,0.8,163,REP1,P2235,Ankistrodesmus spiralis Lemmermann,21552,0.91,27,2,42.4,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankistrodesmus,spiralis,Ank.spi
Buffalo Pound,0.8,163,REP1,P3301,Euglena acus Ehrenberg,400,3.2,106,12,7992.2,Euglenophyte,PHYT,Euglenophyta,Euglenaceae,Euglena,acus,Eug.acu
Buffalo Pound,0.8,163,REP1,P4351,Small chrysophyceae,502880,6.44,2.9,2.9,12.8,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
Buffalo Pound,0.8,163,REP1,P4352,Large chrysophyceae,150864,27.1,7,7,179.6,Chrysophyte,PHYT,Chrysophyta,.,Large chrysophyceae,.,Lar..
Buffalo Pound,0.8,163,REP1,P4355,Chrysochromulina parva Lackey,28736,1.88,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
Buffalo Pound,0.8,163,REP1,P4388,Dinobryon sertularia Ehrenberg,251440,56.88,12,6,226.2,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
Buffalo Pound,0.8,163,REP1,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,811792,27.76,6,3.3,34.2,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
Buffalo Pound,0.8,163,REP1,P5515,Fragilaria crotonensis Kitton,16200,5.84,86,4,360.2,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
Buffalo Pound,0.8,163,REP1,P5524,Asterionella formosa Hassall,19000,2.01,101,2,105.8,Diatom,PHYT,Chrysophyta,Fragilarioideae,Asterionella,formosa,Ast.for
Buffalo Pound,0.8,163,REP1,P5551,Cyclotella michiganiana Skvortzow,86208,2.11,2.5,5,24.5,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,michiganiana,Cyc.mic
Buffalo Pound,0.8,163,REP1,P6554,Rhodomonas minuta Skuja,395120,33.11,10,4.9,83.8,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
Buffalo Pound,0.8,163,REP1,P6558,Cryptomonas erosa Ehrenberg,60200,84.73,28,12,1407.4,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,erosa,Cry.ero
Buffalo Pound,0.8,163,REP1,P6562,Cryptomonas reflexa (Marsson) Skuja,21200,17.76,24,10,837.8,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,reflexa,Cry.ref
Buffalo Pound,0.8,163,REP1,P6565,Cryptomonas rostratiformis Skuja,17600,48.17,40,14,2736.7,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,rostratiformis,Cry.ros
Buffalo Pound,0.8,163,REP1,P6568,Katablepharis ovalis Skuja,7184,0.3,7.7,4,41.4,Cryptophyte,PHYT,Pyrrhophyta,Katablepharidaceae,Katablepharis,ovalis,Kat.ova
Buffalo Pound,0.8,163,REP1,P7640,Peridinium goslaviense Woloszynska,1800,60.32,40,40,33510.3,Dinoflagellate,PHYT,Pyrrhophyta,Peridiniaceae,Peridinium,goslaviense,Per.gos
Buffalo Pound,0.8,170,REP1,P1076,Woronichinia compacta (Lemmermann) Komarek and Hindak,4400,3.08,0,0,700,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Woronichinia,compacta,Wor.com
Buffalo Pound,0.8,170,REP1,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,5600,27.28,250,6.1,4870.8,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
Buffalo Pound,0.8,170,REP1,P2105,Chlamydomonas spp.,21552,0.56,5.5,3,25.9,Chlorophyte,PHYT,Chlorophyta,Chlamydomonadaceae,Chlamydomonas,spp.,Chl.spp
Buffalo Pound,0.8,170,REP1,P2121,Oocystis lacustris Chodat,57472,2.89,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
Buffalo Pound,0.8,170,REP1,P2174,Closterium sp.,1400,0.67,76,4,477.5,Chlorophyte,PHYT,Chlorophyta,Closteriaceae,Closterium,sp.,Clo.sp.
Buffalo Pound,0.8,170,REP1,P2204,Ankyra judayi (G.M. Smith) Fott,114944,6.94,16,3.1,60.4,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankrya,judai,Ank.jud
Buffalo Pound,0.8,170,REP1,P4351,Small chrysophyceae,617824,5.68,2.6,2.6,9.2,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
Buffalo Pound,0.8,170,REP1,P4355,Chrysochromulina parva Lackey,100576,6.58,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
Buffalo Pound,0.8,170,REP1,P4388,Dinobryon sertularia Ehrenberg,400,0.5,0,0,1250,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
Buffalo Pound,0.8,170,REP1,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,57472,2.89,6,4,50.3,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
Buffalo Pound,0.8,170,REP1,P5515,Fragilaria crotonensis Kitton,9400,4.06,103,4,431.4,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
Buffalo Pound,0.8,170,REP1,P5524,Asterionella formosa Hassall,4200,0.44,100,2,104.7,Diatom,PHYT,Chrysophyta,Fragilarioideae,Asterionella,formosa,Ast.for
Buffalo Pound,0.8,170,REP1,P6554,Rhodomonas minuta Skuja,35920,2.23,9.6,4.3,62,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
Buffalo Pound,0.8,170,REP1,P6558,Cryptomonas erosa Ehrenberg,27600,38.84,28,12,1407.4,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,erosa,Cry.ero
Buffalo Pound,0.8,170,REP1,P6565,Cryptomonas rostratiformis Skuja,7200,19.7,40,14,2736.7,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,rostratiformis,Cry.ros
Buffalo Pound,0.8,170,REP1,P6568,Katablepharis ovalis Skuja,28736,1.28,8,4,44.7,Cryptophyte,PHYT,Pyrrhophyta,Katablepharidaceae,Katablepharis,ovalis,Kat.ova
Buffalo Pound,0.8,186,REP2,P1041,Aphanizomenon flos-aquae Ralfs and Born.,200,0.5,200,4,2513.3,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,186,REP2,P1132,Anabaena crassa (Lemm.) Kom-Legn. & Crongerg,32400,605.51,330,10.4,18688.7,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,crassa,Ana.cra
Buffalo Pound,0.8,186,REP2,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,180200,1316.58,375,6.1,7306.2,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
Buffalo Pound,0.8,186,REP2,P2109,Volvox aureus  Ehrenberg,3400,9.11,0,0,2680,Chlorophyte,PHYT,Chlorophyta,Volvocaceae,Volvox,aureus,Vol.aur
Buffalo Pound,0.8,186,REP2,P2113,Pediastrum duplex Meyen,400,0.79,0,0,1965,Chlorophyte,PHYT,Chlorophyta,Hydrodictyaceae,Pediastrum,duplex,Ped.dup
Buffalo Pound,0.8,186,REP2,P2121,Oocystis lacustris Chodat,438224,22.04,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
Buffalo Pound,0.8,186,REP2,P2136,Dictyosphaerium pulchellum Wood,1041680,117.81,6,6,113.1,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Dictyosphaerium,pulchellum,Dic.pul
Buffalo Pound,0.8,186,REP2,P2204,Ankyra judayi (G.M. Smith) Fott,28736,2.89,16,4,100.5,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankrya,judai,Ank.jud
Buffalo Pound,0.8,186,REP2,P3304,Phacus sp.,200,1.49,99,12,7464.4,Euglenophyte,PHYT,Euglenophyta,Euglenaceae,Phacus,sp.,Pha.sp.
Buffalo Pound,0.8,186,REP2,P4355,Chrysochromulina parva Lackey,71840,4.7,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
Buffalo Pound,0.8,186,REP2,P4401,Uroglena volvox Ehrenberg,1731344,195.82,6,6,113.1,Chrysophyte,PHYT,Chrysophyta,Ochromonadaceae,Uroglena,volvox,Uro.vol
Buffalo Pound,0.8,186,REP2,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,21552,0.69,6,3.2,32.2,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
Buffalo Pound,0.8,186,REP2,P5514,Tabellaria flocculosa (Roth) Kutzing,400,0.53,26,14,1334.1,Diatom,PHYT,Chrysophyta,Tabellarioideae,Tabellaria,flocculsa,Tab.flo
Buffalo Pound,0.8,186,REP2,P5515,Fragilaria crotonensis Kitton,196600,98.83,120,4,502.7,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
Buffalo Pound,0.8,186,REP2,P6554,Rhodomonas minuta Skuja,57472,8.67,12,6,150.8,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
Buffalo Pound,0.8,186,REP2,P6558,Cryptomonas erosa Ehrenberg,6800,9.19,26.9,12,1352.1,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,erosa,Cry.ero
Buffalo Pound,0.8,186,REP2,P6565,Cryptomonas rostratiformis Skuja,7000,19.16,40,14,2736.7,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,rostratiformis,Cry.ros
Buffalo Pound,0.8,186,REP2,P7640,Peridinium goslaviense Woloszynska,400,13.4,40,40,33510.3,Dinoflagellate,PHYT,Pyrrhophyta,Peridiniaceae,Peridinium,goslaviense,Per.gos
Buffalo Pound,0.8,186,REP2,P7644,Ceratium hirundinella (Muller) Schrank,2400,126.67,63,40,52778.8,Dinoflagellate,PHYT,Pyrrhophyta,Ceratiaceae,Ceratium,hirundenella,Cer.hir
Buffalo Pound,0.8,191,REP2,P1041,Aphanizomenon flos-aquae Ralfs and Born.,8000,40.21,400,4,5026.5,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Aphanizomenon,flos-aquae,Aph.flo
